split,query_id,true_host,predicted_host,top_hit_id,top_hit_host,top_hit_phage_id,top_hit_sequence_cluster_40,query_phage_id,query_sequence_cluster_40,pident,alignment_length,query_coverage,subject_coverage,evalue,bitscore,correct,audit_note
test,AGS82121.1,pseudomonas,staphylococcus,ANM47011.1,staphylococcus,KX156762,official_cdhit_seq_cluster_40_00405,KF147891,official_cdhit_seq_cluster_40_03891,54.098,,44,,1.96e-12,62.8,False,
test,AGS82135.2,pseudomonas,enterococcus,ACZ63756.1,enterococcus,GQ478081,official_cdhit_seq_cluster_40_02515,KF147891,official_cdhit_seq_cluster_40_03439,22.222,,19,,0.32,31.2,False,
test,AGS82138.1,pseudomonas,escherichia,WIL78214.1,escherichia,OR062524,official_cdhit_seq_cluster_40_01931,KF147891,official_cdhit_seq_cluster_40_02063,32.609,,15,,0.23,32.7,False,
test,AGS82139.2,pseudomonas,escherichia,AQN32354.1,escherichia,KY398841,official_cdhit_seq_cluster_40_00610,KF147891,official_cdhit_seq_cluster_40_01883,37.209,,7,,2.7,29.6,False,
test,AGS82141.2,pseudomonas,escherichia,CUL01631.1,escherichia,LN881728,official_cdhit_seq_cluster_40_03096,KF147891,official_cdhit_seq_cluster_40_01828,28.125,,14,,2.5,29.3,False,
test,AGY48011.1,acinetobacter,acinetobacter,AJT61388.1,acinetobacter,KP861230,official_cdhit_seq_cluster_40_02731,KF669656,official_cdhit_seq_cluster_40_00644,48.804,,23,,6.35e-56,196.0,True,
test,AHZ95032.1,pseudomonas,pseudomonas,ATN93582.1,pseudomonas,MF975720,official_cdhit_seq_cluster_40_00230,KJ507100,official_cdhit_seq_cluster_40_00443,47.818,,51,,4.20e-140,450.0,True,
test,AHZ95034.1,pseudomonas,pseudomonas,UEP18670.1,pseudomonas,MZ955867,official_cdhit_seq_cluster_40_04254,KJ507100,official_cdhit_seq_cluster_40_04270,30.935,,59,,3.43e-09,53.5,True,
test,AHZ95035.1,pseudomonas,pseudomonas,ATN93580.1,pseudomonas,MF975720,official_cdhit_seq_cluster_40_03058,KJ507100,official_cdhit_seq_cluster_40_03134,69.318,,24,,2.59e-33,126.0,True,
test,AHZ95041.1,pseudomonas,pseudomonas,AMW64548.1,pseudomonas,KU708004,official_cdhit_seq_cluster_40_04954,KJ507100,official_cdhit_seq_cluster_40_04893,34.959,,99,,3.16e-16,67.4,True,
test,AID17699.1,escherichia,pseudomonas,QJD54740.1,pseudomonas,MT104467,official_cdhit_seq_cluster_40_01176,KJ749827,official_cdhit_seq_cluster_40_00664,90.523,,100,,0.0,578.0,False,
test,AID17711.1,escherichia,enterobacter,BBK03771.1,enterobacter,LC373201,official_cdhit_seq_cluster_40_00841,KJ749827,official_cdhit_seq_cluster_40_02302,32.453,,95,,2.69e-68,234.0,False,
test,AID17712.1,escherichia,pseudomonas,ATN92816.1,pseudomonas,MF893340,official_cdhit_seq_cluster_40_05001,KJ749827,official_cdhit_seq_cluster_40_00408,65.625,,76,,5.95e-08,42.7,False,
test,AID17959.1,acinetobacter,acinetobacter,UKM17074.1,acinetobacter,OM334891,official_cdhit_seq_cluster_40_01284,KJ817802,official_cdhit_seq_cluster_40_01331,31.609,,47,,6.30e-30,124.0,True,
test,AID17960.1,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,KJ817802,official_cdhit_seq_cluster_40_03737,31.008,,46,,3.22e-11,61.6,False,
test,AID17969.1,acinetobacter,escherichia,QHI00738.1,escherichia,MN481365,official_cdhit_seq_cluster_40_00434,KJ817802,official_cdhit_seq_cluster_40_05023,62.500,,20,,6.0,23.9,False,
test,AIW02768.1,acinetobacter,acinetobacter,ASN73504.1,acinetobacter,MF033350,official_cdhit_seq_cluster_40_01282,KM672662,official_cdhit_seq_cluster_40_00619,39.316,,13,,2.38e-17,85.5,True,
test,AIW02797.1,acinetobacter,acinetobacter,UJE34680.1,acinetobacter,OL960030,official_cdhit_seq_cluster_40_03211,KM672662,official_cdhit_seq_cluster_40_03195,35.204,,100,,2.99e-42,149.0,True,
test,AIW02800.1,acinetobacter,acinetobacter,URG13781.1,acinetobacter,ON323491,official_cdhit_seq_cluster_40_02171,KM672662,official_cdhit_seq_cluster_40_02894,40.870,,56,,5.93e-12,65.9,True,
test,AIW02896.1,acinetobacter,escherichia,WDS61334.1,escherichia,OQ357823,official_cdhit_seq_cluster_40_00092,KM672662,official_cdhit_seq_cluster_40_03084,29.070,,22,,0.021,35.4,False,
test,AJD82747.1,pseudomonas,pseudomonas,ALT58063.1,pseudomonas,KU245542,official_cdhit_seq_cluster_40_02129,KP233880,official_cdhit_seq_cluster_40_03250,30.348,,57,,4.67e-16,77.4,True,
test,AJT61315.1,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,KP861229,official_cdhit_seq_cluster_40_03737,31.008,,46,,3.07e-11,61.6,False,
test,AJT61416.1,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,KP861231,official_cdhit_seq_cluster_40_03737,31.008,,46,,3.37e-11,61.6,False,
test,AKG94425.1,enterococcus,enterococcus,CAD0299795.1,enterococcus,CAJDKB010000002,official_cdhit_seq_cluster_40_04995,KR131750,official_cdhit_seq_cluster_40_05021,37.037,,91,,8.06e-14,59.3,True,
test,ALJ97635.1,acinetobacter,acinetobacter,QFG15400.1,acinetobacter,MN212906,official_cdhit_seq_cluster_40_00649,KT804908,official_cdhit_seq_cluster_40_01011,46.720,,99,,0.0,568.0,True,
test,ALJ99086.1,acinetobacter,acinetobacter,CAH1080222.1,acinetobacter,CAKLQF020000006,official_cdhit_seq_cluster_40_01279,KT588074,official_cdhit_seq_cluster_40_04417,64.706,,56,,5.05e-16,74.3,True,
test,ALJ99087.1,acinetobacter,acinetobacter,ARQ94869.1,acinetobacter,KY888680,official_cdhit_seq_cluster_40_00649,KT588074,official_cdhit_seq_cluster_40_01011,37.209,,75,,3.61e-89,291.0,True,
test,ALO80887.1,enterococcus,enterococcus,CAD0299795.1,enterococcus,CAJDKB010000002,official_cdhit_seq_cluster_40_04995,KT932701,official_cdhit_seq_cluster_40_05021,35.227,,100,,2.11e-14,60.8,True,
test,AMD43181.1,acinetobacter,escherichia,USL83571.1,escherichia,ON286972,official_cdhit_seq_cluster_40_00694,KU510289,official_cdhit_seq_cluster_40_05023,45.455,,47,,0.14,28.1,False,
test,AMD43189.2,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,KU510289,official_cdhit_seq_cluster_40_03737,29.457,,45,,1.60e-10,59.7,False,
test,AMD43190.1,acinetobacter,acinetobacter,UAW10085.1,acinetobacter,MZ936316,official_cdhit_seq_cluster_40_00819,KU510289,official_cdhit_seq_cluster_40_00945,28.654,,82,,2.31e-62,224.0,True,
test,ANA49271.1,pseudomonas,pseudomonas,ULG00138.1,pseudomonas,OM141125,official_cdhit_seq_cluster_40_03793,KU862660,official_cdhit_seq_cluster_40_02392,73.469,,43,,9.55e-41,146.0,True,
test,AND75136.1,pseudomonas,pseudomonas,QNJ57334.1,pseudomonas,MT711888,official_cdhit_seq_cluster_40_01017,KU873925,official_cdhit_seq_cluster_40_01323,26.611,,52,,1.12e-18,89.0,True,
test,AND75137.1,pseudomonas,escherichia,AGC31500.1,escherichia,KC206276,official_cdhit_seq_cluster_40_00411,KU873925,official_cdhit_seq_cluster_40_02052,40.698,,14,,6.22e-09,57.4,False,
test,AND75138.1,pseudomonas,pseudomonas,QNJ57334.1,pseudomonas,MT711888,official_cdhit_seq_cluster_40_01017,KU873925,official_cdhit_seq_cluster_40_01807,54.167,,54,,1.60e-65,228.0,True,
test,AND75139.1,pseudomonas,enterobacter,USL85809.1,enterobacter,ON212266,official_cdhit_seq_cluster_40_00293,KU873925,official_cdhit_seq_cluster_40_00881,32.298,,21,,6.35e-09,57.8,False,
test,ANT40742.1,acinetobacter,escherichia,UNI73282.1,escherichia,OL770107,official_cdhit_seq_cluster_40_02315,KX268652,official_cdhit_seq_cluster_40_02367,33.333,,10,,0.96,30.4,False,
test,ANT40996.1,enterococcus,enterococcus,QYW06709.1,enterococcus,MZ666130,official_cdhit_seq_cluster_40_04995,KX284704,official_cdhit_seq_cluster_40_05021,36.782,,99,,4.00e-12,55.1,True,
test,APD19440.1,acinetobacter,acinetobacter,QFG15400.1,acinetobacter,MN212906,official_cdhit_seq_cluster_40_00649,KY082667,official_cdhit_seq_cluster_40_01011,47.122,,99,,0.0,573.0,True,
test,APD20249.1,acinetobacter,acinetobacter,QOV07800.1,acinetobacter,MW056502,official_cdhit_seq_cluster_40_00649,KY000079,official_cdhit_seq_cluster_40_00865,66.071,,7,,4.17e-15,78.2,True,
test,APD20278.1,acinetobacter,acinetobacter,UJE34680.1,acinetobacter,OL960030,official_cdhit_seq_cluster_40_03211,KY000079,official_cdhit_seq_cluster_40_03195,34.103,,100,,8.49e-42,148.0,True,
test,APW79830.1,acinetobacter,acinetobacter,WCF71633.1,acinetobacter,OQ101251,official_cdhit_seq_cluster_40_00649,KY268295,official_cdhit_seq_cluster_40_00698,69.935,,34,,3.59e-121,383.0,True,
test,AQT27837.1,staphylococcus,staphylococcus,WLY86762.1,staphylococcus,OR062948,official_cdhit_seq_cluster_40_01777,KY442063,official_cdhit_seq_cluster_40_01967,42.105,,9,,2.72e-06,48.9,True,
test,ARB06746.1,acinetobacter,escherichia,USL83571.1,escherichia,ON286972,official_cdhit_seq_cluster_40_00694,KY670595,official_cdhit_seq_cluster_40_05023,45.455,,47,,0.14,28.1,False,
test,ARB06756.1,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,KY670595,official_cdhit_seq_cluster_40_03737,30.233,,45,,2.05e-10,59.3,False,
test,ARB06757.1,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,KY670595,official_cdhit_seq_cluster_40_00865,42.742,,17,,3.37e-20,92.4,False,
test,ARQ94726.1,acinetobacter,acinetobacter,QOV07800.1,acinetobacter,MW056502,official_cdhit_seq_cluster_40_00649,KY829116,official_cdhit_seq_cluster_40_01704,75.862,,9,,1.09e-20,95.1,True,
test,ARQ94727.1,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,KY829116,official_cdhit_seq_cluster_40_03737,30.081,,43,,1.60e-09,56.6,False,
test,ARQ94736.1,acinetobacter,escherichia,,,,,KY829116,official_cdhit_seq_cluster_40_05023,,,,,,,False,no BLAST hit; majority-host fallback
test,ASJ78888.1,acinetobacter,acinetobacter,QOV07748.1,acinetobacter,MW056501,official_cdhit_seq_cluster_40_00887,MF346584,official_cdhit_seq_cluster_40_00656,44.219,,82,,3.58e-152,463.0,True,
test,ASJ78889.1,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,MF346584,official_cdhit_seq_cluster_40_03737,29.268,,44,,8.87e-10,57.4,False,
test,ASN73455.2,acinetobacter,acinetobacter,WCF71633.1,acinetobacter,OQ101251,official_cdhit_seq_cluster_40_00649,MF033349,official_cdhit_seq_cluster_40_00865,60.204,,34,,2.70e-94,308.0,True,
test,ASN73558.1,acinetobacter,acinetobacter,UVD33039.1,acinetobacter,OP019135,official_cdhit_seq_cluster_40_01503,MF033351,official_cdhit_seq_cluster_40_01051,67.213,,31,,3.64e-93,305.0,True,
test,ATI17030.1,escherichia,escherichia,QOI68078.1,escherichia,MT932211,official_cdhit_seq_cluster_40_01283,MF630921,official_cdhit_seq_cluster_40_00629,41.568,,72,,2.75e-145,447.0,True,
test,ATW58196.1,pseudomonas,pseudomonas,QJD54740.1,pseudomonas,MT104467,official_cdhit_seq_cluster_40_01176,MG018929,official_cdhit_seq_cluster_40_02860,37.548,,61,,2.00e-48,166.0,True,
test,ATW58197.1,pseudomonas,escherichia,QHR75383.1,escherichia,MN850645,official_cdhit_seq_cluster_40_01435,MG018929,official_cdhit_seq_cluster_40_00111,26.394,,42,,1.81e-17,86.7,False,
test,ATW62327.1,pseudomonas,pseudomonas,AFU62926.1,pseudomonas,JX863101,official_cdhit_seq_cluster_40_04291,MG432151,official_cdhit_seq_cluster_40_04310,52.294,,100,,1.26e-64,197.0,True,
test,ATW62335.1,pseudomonas,pseudomonas,ALT58063.1,pseudomonas,KU245542,official_cdhit_seq_cluster_40_02129,MG432151,official_cdhit_seq_cluster_40_03250,30.348,,65,,1.15e-15,75.5,True,
test,AUG85465.1,acinetobacter,klebsiella,OK490461_00034,klebsiella,OK490461,official_cdhit_seq_cluster_40_00500,MG674163,official_cdhit_seq_cluster_40_00999,26.144,,65,,4.36e-22,99.8,False,
test,AUR80858.1,enterococcus,enterococcus,QYW06709.1,enterococcus,MZ666130,official_cdhit_seq_cluster_40_04995,MG708276,official_cdhit_seq_cluster_40_05021,37.931,,99,,8.18e-13,56.6,True,
test,AUS03221.1,pseudomonas,pseudomonas,ALT58063.1,pseudomonas,KU245542,official_cdhit_seq_cluster_40_02129,MF768469,official_cdhit_seq_cluster_40_03250,30.348,,65,,1.08e-15,75.5,True,
test,AWD90623.1,pseudomonas,pseudomonas,QJD54740.1,pseudomonas,MT104467,official_cdhit_seq_cluster_40_01176,MH113812,official_cdhit_seq_cluster_40_02860,36.333,,68,,1.39e-52,176.0,True,
test,AWD90668.1,pseudomonas,pseudomonas,QJD54740.1,pseudomonas,MT104467,official_cdhit_seq_cluster_40_01176,MH113813,official_cdhit_seq_cluster_40_02860,39.464,,61,,4.98e-49,167.0,True,
test,AWD90674.1,pseudomonas,pseudomonas,ADD64959.1,pseudomonas,KC862297,official_cdhit_seq_cluster_40_04342,MH113813,official_cdhit_seq_cluster_40_04031,30.332,,72,,3.70e-07,47.8,True,
test,AWD90715.1,pseudomonas,pseudomonas,QJD54740.1,pseudomonas,MT104467,official_cdhit_seq_cluster_40_01176,MH113814,official_cdhit_seq_cluster_40_02860,40.613,,61,,5.38e-52,175.0,True,
test,AWD90716.1,pseudomonas,escherichia,QHR65697.1,escherichia,MN850571,official_cdhit_seq_cluster_40_01435,MH113814,official_cdhit_seq_cluster_40_00111,26.894,,57,,6.94e-17,84.3,False,
test,AWD90762.1,pseudomonas,pseudomonas,QJD54740.1,pseudomonas,MT104467,official_cdhit_seq_cluster_40_01176,MH113815,official_cdhit_seq_cluster_40_02860,39.464,,61,,2.13e-51,173.0,True,
test,AWD90768.1,pseudomonas,pseudomonas,AZF89712.1,pseudomonas,MK138526,official_cdhit_seq_cluster_40_04342,MH113815,official_cdhit_seq_cluster_40_04031,30.841,,72,,2.24e-08,51.6,True,
test,AWD93192.1,acinetobacter,klebsiella,QOE32401.1,klebsiella,MT708547,official_cdhit_seq_cluster_40_00162,MH133207,official_cdhit_seq_cluster_40_00810,29.143,,19,,3.41e-08,55.8,False,
test,AWD93202.1,acinetobacter,staphylococcus,MZ417329_00073,staphylococcus,MZ417329,official_cdhit_seq_cluster_40_00405,MH133207,official_cdhit_seq_cluster_40_02723,54.545,,62,,2.18e-12,67.4,False,
test,AWD93211.1,acinetobacter,acinetobacter,AZF88453.1,acinetobacter,MK170160,official_cdhit_seq_cluster_40_03211,MH133207,official_cdhit_seq_cluster_40_03036,31.989,,100,,1.01e-49,168.0,True,
test,AWD93215.1,acinetobacter,escherichia,URG18185.1,escherichia,ON391668,official_cdhit_seq_cluster_40_01358,MH133207,official_cdhit_seq_cluster_40_00788,40.278,,25,,5.23e-08,52.4,False,
test,AXF41395.1,acinetobacter,klebsiella,UYL05433.1,klebsiella,OP617745,official_cdhit_seq_cluster_40_01434,MH517022,official_cdhit_seq_cluster_40_04661,42.857,,25,,0.26,30.0,False,
test,AXF41437.1,acinetobacter,klebsiella,AUG88032.1,klebsiella,MG428991,official_cdhit_seq_cluster_40_03989,MH517022,official_cdhit_seq_cluster_40_04070,30.827,,52,,5.30e-05,42.0,False,
test,AXF41504.1,acinetobacter,pseudomonas,BAU16334.1,pseudomonas,LC102729,official_cdhit_seq_cluster_40_02129,MH517022,official_cdhit_seq_cluster_40_00615,47.059,,4,,0.038,35.8,False,
test,AXF41505.1,acinetobacter,klebsiella,AXQ68024.1,klebsiella,MH633485,official_cdhit_seq_cluster_40_00520,MH517022,official_cdhit_seq_cluster_40_04855,29.412,,48,,9.3,24.6,False,
test,AXF41506.1,acinetobacter,acinetobacter,ALJ99024.1,acinetobacter,KT588073,official_cdhit_seq_cluster_40_00337,MH517022,official_cdhit_seq_cluster_40_00977,28.859,,17,,6.87e-04,41.6,True,
test,AXF41546.1,acinetobacter,acinetobacter,QOV07748.1,acinetobacter,MW056501,official_cdhit_seq_cluster_40_00887,MH517022,official_cdhit_seq_cluster_40_00656,42.556,,72,,4.59e-151,465.0,True,
test,AXF41547.1,acinetobacter,acinetobacter,QVQ34730.1,acinetobacter,MZ099557,official_cdhit_seq_cluster_40_00649,MH517022,official_cdhit_seq_cluster_40_01057,90.824,,67,,0.0,1023.0,True,
test,AXF41548.1,acinetobacter,staphylococcus,AZB66807.1,staphylococcus,MK075005,official_cdhit_seq_cluster_40_01684,MH517022,official_cdhit_seq_cluster_40_00581,23.629,,23,,4.42e-05,45.8,False,
test,AXN57984.1,enterobacter,escherichia,,,,,MH547045,official_cdhit_seq_cluster_40_04504,,,,,,,False,no BLAST hit; majority-host fallback
test,AYD79709.1,pseudomonas,acinetobacter,URG13838.1,acinetobacter,ON323491,official_cdhit_seq_cluster_40_03345,MG589386,official_cdhit_seq_cluster_40_04209,29.688,,27,,3.2,27.3,False,
test,AYD79715.1,pseudomonas,pseudomonas,ALT58063.1,pseudomonas,KU245542,official_cdhit_seq_cluster_40_02129,MG589386,official_cdhit_seq_cluster_40_03250,30.348,,65,,1.19e-15,75.5,True,
test,AYJ73836.1,pseudomonas,pseudomonas,AFU62926.1,pseudomonas,JX863101,official_cdhit_seq_cluster_40_04291,MH973725,official_cdhit_seq_cluster_40_04310,52.036,,100,,2.72e-63,194.0,True,
test,AYP28495.1,staphylococcus,staphylococcus,WLY86762.1,staphylococcus,OR062948,official_cdhit_seq_cluster_40_01777,MH972261,official_cdhit_seq_cluster_40_01967,43.860,,9,,8.50e-07,50.4,True,
test,AYP28515.1,staphylococcus,staphylococcus,WLY86762.1,staphylococcus,OR062948,official_cdhit_seq_cluster_40_01777,MH972262,official_cdhit_seq_cluster_40_01967,43.860,,9,,8.50e-07,50.4,True,
test,AYP28535.1,staphylococcus,staphylococcus,WLY86762.1,staphylococcus,OR062948,official_cdhit_seq_cluster_40_01777,MH972263,official_cdhit_seq_cluster_40_01967,43.860,,9,,5.43e-07,51.2,True,
test,AYP68900.1,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,MH853786,official_cdhit_seq_cluster_40_00865,41.129,,17,,2.81e-18,86.3,False,
test,AYP68901.1,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,MH853786,official_cdhit_seq_cluster_40_03737,30.233,,45,,2.18e-11,62.0,False,
test,AYP68983.1,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,MH853787,official_cdhit_seq_cluster_40_03737,30.894,,44,,5.63e-11,60.8,False,
test,AYP68992.1,acinetobacter,escherichia,QDK00122.1,escherichia,MK907268,official_cdhit_seq_cluster_40_00348,MH853787,official_cdhit_seq_cluster_40_01617,23.214,,16,,3.4,29.3,False,
test,AYP69084.1,acinetobacter,acinetobacter,QOV07800.1,acinetobacter,MW056502,official_cdhit_seq_cluster_40_00649,MH853788,official_cdhit_seq_cluster_40_01704,75.862,,9,,1.95e-20,94.4,True,
test,AYP69085.1,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,MH853788,official_cdhit_seq_cluster_40_03737,30.233,,46,,7.52e-10,57.4,False,
test,AZF87861.1,pseudomonas,klebsiella,OK490418_00042,klebsiella,OK490418,official_cdhit_seq_cluster_40_01933,MK034952,official_cdhit_seq_cluster_40_01988,55.140,,47,,2.95e-64,219.0,False,
test,AZS06469.1,enterococcus,enterococcus,CAD0299795.1,enterococcus,CAJDKB010000002,official_cdhit_seq_cluster_40_04995,MK125140,official_cdhit_seq_cluster_40_05021,35.227,,100,,3.23e-14,60.5,True,
test,AZU99242.1,acinetobacter,acinetobacter,MG599035_00051,acinetobacter,MG599035,official_cdhit_seq_cluster_40_00649,MK257719,official_cdhit_seq_cluster_40_01011,48.059,,99,,0.0,571.0,True,
test,BDA97036.1,pseudomonas,pseudomonas,ALT58063.1,pseudomonas,KU245542,official_cdhit_seq_cluster_40_02129,LC648443,official_cdhit_seq_cluster_40_03250,29.851,,65,,3.95e-14,70.9,True,
test,BDA97044.1,pseudomonas,pseudomonas,AFU62926.1,pseudomonas,JX863101,official_cdhit_seq_cluster_40_04291,LC648443,official_cdhit_seq_cluster_40_04310,52.489,,100,,8.45e-66,200.0,True,
test,CAD0310583.1,enterococcus,enterococcus,CAD0299795.1,enterococcus,CAJDKB010000002,official_cdhit_seq_cluster_40_04995,CAJDKF010000002,official_cdhit_seq_cluster_40_05021,34.091,,100,,1.17e-13,58.9,True,
test,CAH1066870.1,acinetobacter,acinetobacter,UVD33039.1,acinetobacter,OP019135,official_cdhit_seq_cluster_40_01503,CAKLQE020000001,official_cdhit_seq_cluster_40_00619,41.573,,10,,1.59e-11,66.6,True,
test,CAH1066909.1,acinetobacter,staphylococcus,ANT44914.1,staphylococcus,KX171213,official_cdhit_seq_cluster_40_00405,CAKLQE020000001,official_cdhit_seq_cluster_40_02723,62.745,,17,,2.18e-12,67.8,False,
test,CAH1069475.1,acinetobacter,escherichia,QMP81465.1,escherichia,MT664721,official_cdhit_seq_cluster_40_01022,CAKLQA020000003,official_cdhit_seq_cluster_40_01046,38.732,,18,,4.38e-24,106.0,False,
test,CAH1189517.1,escherichia,escherichia,AXY82583.1,escherichia,MH733496,official_cdhit_seq_cluster_40_00411,OV696608,official_cdhit_seq_cluster_40_01053,45.739,,87,,0.0,603.0,True,
test,CAP45456.1,pseudomonas,acinetobacter,URG13838.1,acinetobacter,ON323491,official_cdhit_seq_cluster_40_03345,AM910650,official_cdhit_seq_cluster_40_04209,29.688,,27,,2.7,27.3,False,
test,CAP45458.1,pseudomonas,pseudomonas,AFU62926.1,pseudomonas,JX863101,official_cdhit_seq_cluster_40_04291,AM910650,official_cdhit_seq_cluster_40_04310,52.941,,100,,8.43e-65,198.0,True,
test,CBH51606.1,pseudomonas,pseudomonas,AXC36533.1,pseudomonas,MH382836,official_cdhit_seq_cluster_40_00126,FN594518,official_cdhit_seq_cluster_40_01984,57.980,,50,,2.85e-102,331.0,True,
test,CCH57761.1,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,HE806280,official_cdhit_seq_cluster_40_03737,31.008,,47,,3.01e-11,61.6,False,
test,CCH57762.1,acinetobacter,pseudomonas,QBI79946.1,pseudomonas,MK511001,official_cdhit_seq_cluster_40_01014,HE806280,official_cdhit_seq_cluster_40_01396,26.538,,76,,1.03e-45,173.0,False,
test,CCM43491.1,pseudomonas,pseudomonas,AFU62926.1,pseudomonas,JX863101,official_cdhit_seq_cluster_40_04291,HE983844,official_cdhit_seq_cluster_40_04310,50.909,,100,,7.74e-66,200.0,True,
test,CCM43499.1,pseudomonas,pseudomonas,ALT58063.1,pseudomonas,KU245542,official_cdhit_seq_cluster_40_02129,HE983844,official_cdhit_seq_cluster_40_03250,30.846,,54,,9.29e-17,79.7,True,
test,CCN27152.1,pseudomonas,pseudomonas,AFU62926.1,pseudomonas,JX863101,official_cdhit_seq_cluster_40_04291,HF543949,official_cdhit_seq_cluster_40_04310,50.909,,100,,1.13e-65,200.0,True,
test,CCN27160.1,pseudomonas,pseudomonas,ALT58063.1,pseudomonas,KU245542,official_cdhit_seq_cluster_40_02129,HF543949,official_cdhit_seq_cluster_40_03250,30.846,,54,,9.21e-17,79.7,True,
test,CDI06816.1,pseudomonas,pseudomonas,AFU62926.1,pseudomonas,JX863101,official_cdhit_seq_cluster_40_04291,HG518155,official_cdhit_seq_cluster_40_04310,52.752,,100,,2.51e-65,199.0,True,
test,CEF89767.1,pseudomonas,pseudomonas,ALT58063.1,pseudomonas,KU245542,official_cdhit_seq_cluster_40_02129,LN610578,official_cdhit_seq_cluster_40_03250,30.348,,65,,9.25e-16,75.9,True,
test,DBA08199.1,pseudomonas,klebsiella,OK490418_00042,klebsiella,OK490418,official_cdhit_seq_cluster_40_01933,BK061475,official_cdhit_seq_cluster_40_01988,55.607,,47,,1.59e-64,220.0,False,
test,LN889992_00015,pseudomonas,enterobacter,UGO47192.1,enterobacter,OK499971,official_cdhit_seq_cluster_40_01607,LN889992,official_cdhit_seq_cluster_40_01710,69.841,,19,,7.34e-53,192.0,False,
test,MG366114_00011,acinetobacter,klebsiella,OX335416_00087,klebsiella,OX335416,official_cdhit_seq_cluster_40_00876,MG366114,official_cdhit_seq_cluster_40_01051,27.461,,93,,3.76e-08,51.2,False,
test,MG366114_00023,acinetobacter,klebsiella,OX335416_00087,klebsiella,OX335416,official_cdhit_seq_cluster_40_00876,MG366114,official_cdhit_seq_cluster_40_01051,44.444,,45,,0.001,33.9,False,
test,MG366114_00024,acinetobacter,acinetobacter,WCF71633.1,acinetobacter,OQ101251,official_cdhit_seq_cluster_40_00649,MG366114,official_cdhit_seq_cluster_40_00853,48.387,,57,,5.13e-14,65.1,True,
test,MG366114_00025,acinetobacter,pseudomonas,WAX22804.1,pseudomonas,OP917824,official_cdhit_seq_cluster_40_02870,MG366114,official_cdhit_seq_cluster_40_03737,30.233,,44,,1.76e-10,59.7,False,
test,MG459218_00049,acinetobacter,acinetobacter,WGV35678.1,acinetobacter,OQ730212,official_cdhit_seq_cluster_40_01639,MG459218,official_cdhit_seq_cluster_40_00999,78.740,,16,,8.43e-59,211.0,True,
test,MW512831_00053,pseudomonas,acinetobacter,URG13838.1,acinetobacter,ON323491,official_cdhit_seq_cluster_40_03345,MW512831,official_cdhit_seq_cluster_40_04209,29.688,,27,,2.5,27.7,False,
test,MW590698_00055,acinetobacter,klebsiella,AXN53801.1,klebsiella,MH688453,official_cdhit_seq_cluster_40_00342,MW590698,official_cdhit_seq_cluster_40_00999,27.792,,58,,4.33e-20,93.6,False,
test,QAU04145.1,acinetobacter,acinetobacter,CAH1080222.1,acinetobacter,CAKLQF020000006,official_cdhit_seq_cluster_40_01279,MK340941,official_cdhit_seq_cluster_40_04417,64.706,,56,,5.89e-16,73.9,True,
test,QAU04146.1,acinetobacter,acinetobacter,MW926912_00003,acinetobacter,MW926912,official_cdhit_seq_cluster_40_00649,MK340941,official_cdhit_seq_cluster_40_01011,36.822,,73,,6.10e-88,288.0,True,
test,QBP28418.1,klebsiella,klebsiella,QZD26083.1,klebsiella,MW119258,official_cdhit_seq_cluster_40_01549,MK448231,official_cdhit_seq_cluster_40_00947,41.447,,32,,1.41e-22,99.4,True,
test,QBZ69124.1,enterococcus,enterococcus,QYW06709.1,enterococcus,MZ666130,official_cdhit_seq_cluster_40_04995,MK721187,official_cdhit_seq_cluster_40_05021,36.782,,99,,3.36e-12,55.1,True,
test,QBZ69827.1,enterococcus,enterococcus,QYW06709.1,enterococcus,MZ666130,official_cdhit_seq_cluster_40_04995,MK721191,official_cdhit_seq_cluster_40_05021,37.931,,99,,1.08e-12,56.6,True,
test,QDB70855.1,pseudomonas,pseudomonas,ALT58063.1,pseudomonas,KU245542,official_cdhit_seq_cluster_40_02129,MK816297,official_cdhit_seq_cluster_40_03292,31.068,,56,,2.31e-18,84.7,True,
